SICs,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3613,0,0,1,3,5,5,5,5,5,5,4,3,3,3,4,4,4,4,3,3,2,2,2,2,2,2
3620,0,2,6,10,10,12,12,12,9,6,6,6,5,6,5,5,5,5,6,7,7,7,7,7,6,5
3621,0,6,4,8,10,11,10,10,12,10,9,8,7,7,7,7,10,13,10,9,8,8,7,8,8,7
3630,0,1,2,2,3,3,3,3,3,3,3,2,2,3,2,2,2,3,3,3,3,3,5,5,5,5
3634,0,1,0,5,10,8,7,7,6,6,6,5,5,5,5,5,4,2,4,4,3,2,2,2,1,2
3640,0,4,9,15,23,26,22,21,20,18,17,13,15,13,10,9,12,13,13,16,13,11,15,11,11,9
3651,0,2,4,10,15,14,16,16,13,15,15,11,12,9,9,11,11,10,9,8,7,8,8,7,5,6
3652,0,0,2,5,6,5,6,6,5,5,7,5,3,3,1,2,2,2,2,1,1,1,1,1,1,1
3661,0,5,5,37,57,54,60,55,63,55,52,45,40,33,30,32,34,37,31,30,26,24,23,21,18,18
3663,0,7,17,37,64,66,56,54,58,56,50,51,52,50,46,49,52,49,50,42,38,35,33,32,30,30
3669,0,2,5,11,20,23,21,18,18,18,17,17,17,15,17,22,42,39,37,28,28,24,26,20,17,15
3670,0,5,5,12,19,23,18,20,19,17,17,17,14,14,15,14,17,17,15,15,15,16,16,14,13,13
3672,0,1,7,20,26,27,22,20,23,22,18,19,19,17,18,18,17,16,16,15,16,16,15,15,14,14
3674,0,12,23,49,86,96,103,105,118,120,118,121,129,126,132,149,141,134,132,122,118,111,104,92,86,83
3677,0,0,0,2,2,1,2,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
3678,0,2,3,4,10,10,9,5,5,5,5,4,4,4,3,3,5,5,5,5,5,4,4,4,4,4
3679,0,4,12,33,34,33,27,29,30,31,26,23,23,20,18,24,26,26,26,23,23,22,20,15,15,15
3690,0,3,7,20,22,22,20,20,27,24,24,21,21,22,22,24,30,33,34,31,23,24,21,21,20,20
3695,0,0,0,3,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,1,2,1
3711,0,7,6,11,15,15,14,16,15,11,10,9,9,7,7,9,10,11,13,15,16,19,17,14,13,12
3713,0,0,0,4,6,5,5,4,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,2
3714,0,9,14,32,43,42,42,39,38,42,36,39,38,39,36,38,45,45,42,41,46,47,46,41,40,37
3715,0,0,0,2,4,6,6,6,5,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
3716,0,2,3,5,6,6,6,5,7,6,6,6,5,5,5,4,3,3,2,2,2,2,2,2,2,2
3720,0,1,0,1,2,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,4,4
3721,0,4,2,4,5,4,4,3,4,4,3,3,3,3,4,4,5,5,4,5,2,3,2,3,3,3
3724,0,3,2,9,8,11,11,9,8,7,7,7,7,7,7,5,4,4,4,4,4,3,2,3,3,2
3728,0,6,5,6,4,6,6,7,8,7,8,10,10,12,12,11,11,10,9,8,9,9,9,9,10,6
3730,0,2,3,5,9,9,10,6,7,5,5,5,4,4,4,4,3,3,2,3,3,4,5,5,5,5
3743,0,2,2,3,6,6,6,5,4,3,4,5,5,7,7,7,6,6,5,5,5,5,5,5,5,5
3751,0,2,1,4,6,6,5,4,4,2,1,1,1,1,1,1,1,2,3,2,4,5,5,5,4,5
3760,0,2,4,6,3,3,4,4,3,3,3,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4
3790,0,0,0,2,3,4,5,5,5,6,4,4,3,3,3,3,4,4,4,3,3,3,3,3,2,2
3812,0,8,8,16,19,20,18,17,15,13,15,13,14,14,14,11,12,12,10,12,12,10,8,10,9,10
3821,0,1,5,5,5,6,6,8,8,7,8,7,5,5,5,5,6,5,4,4,5,5,5,4,4,3
3822,0,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,2,4,5,3,5,4,2,2,2
3823,0,4,7,21,24,25,24,26,18,19,18,15,14,13,11,13,19,20,19,18,17,19,19,18,18,17
3824,0,0,0,2,1,1,2,1,2,1,1,1,2,2,2,2,3,3,2,2,1,1,1,1,1,1
3825,0,10,17,26,39,36,36,34,37,31,31,27,26,30,29,26,23,23,21,20,19,18,17,16,15,12
3826,0,4,6,11,23,24,27,25,28,28,27,26,27,27,27,29,29,26,24,23,21,23,24,25,20,20
3827,0,0,4,7,14,11,13,10,10,12,12,11,10,7,8,7,8,8,8,8,8,6,6,5,5,4
3829,0,3,6,16,19,25,21,20,17,19,21,19,19,17,16,20,24,25,26,25,19,23,22,19,20,17
3841,0,5,15,34,63,65,62,58,61,55,50,51,54,70,79,92,115,105,104,96,94,93,105,111,107,104
3842,0,4,10,24,39,41,36,31,35,36,34,32,34,33,32,30,35,35,35,32,30,28,29,32,29,28
3843,0,0,3,4,6,7,8,5,5,3,4,4,4,4,4,4,6,6,6,8,6,6,6,5,4,4
3844,0,0,2,6,9,9,9,6,5,6,5,5,4,4,2,2,2,2,2,2,2,2,2,2,1,1
3845,0,1,14,40,80,77,66,59,61,57,58,50,56,45,44,49,63,53,49,46,44,43,45,43,41,38
3851,0,1,1,4,7,11,10,10,7,5,5,5,4,5,5,5,5,6,5,4,4,4,3,2,2,3
3861,0,3,2,14,20,19,18,16,17,15,15,16,13,12,10,8,9,8,8,8,6,7,7,6,5,6
3873,0,0,0,3,6,6,4,4,3,3,2,2,2,3,4,3,3,3,3,3,2,2,2,2,2,2
3910,0,1,2,1,2,3,3,3,3,3,3,4,2,2,1,1,1,2,2,2,2,2,2,2,2,2
3911,0,3,3,5,6,5,4,4,4,5,4,3,3,2,3,4,4,3,2,1,1,1,1,0,0,0
3931,0,0,1,2,2,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0
3942,0,1,0,2,4,4,4,4,3,4,4,3,3,3,2,3,4,3,3,2,2,2,1,1,1,1
3944,0,2,1,8,13,14,12,10,6,6,6,6,6,6,6,6,7,6,6,6,6,5,6,6,4,6
3949,0,2,2,14,23,22,21,23,21,17,17,12,9,9,8,7,9,9,9,8,8,7,7,6,7,6
3950,0,2,5,5,6,4,4,4,3,3,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0
3960,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3990,1,4,6,11,15,18,19,18,17,14,14,12,14,15,15,21,24,24,22,22,18,15,14,12,12,11
4011,0,9,7,12,13,11,10,9,8,10,9,9,9,10,10,8,8,9,9,9,8,8,8,8,7,7
4013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4100,0,0,0,2,4,5,5,4,3,2,3,3,3,4,3,3,2,2,1,1,1,0,0,0,0,0
4210,0,1,0,4,2,3,3,5,4,4,4,3,3,4,4,4,4,4,3,3,3,2,2,2,2,2
4213,0,8,10,23,44,45,43,40,39,31,28,30,30,25,23,20,19,19,20,19,20,18,18,15,14,15
4220,0,1,1,2,3,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,0,0,0
4231,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4400,0,4,3,9,7,7,8,7,8,7,8,10,11,13,14,15,18,15,12,11,12,13,12,11,11,9
4412,0,4,0,3,4,4,5,5,4,4,5,5,5,8,9,8,6,8,8,7,6,6,8,8,7,7
4512,0,6,10,18,27,27,27,23,21,21,22,22,24,24,24,25,24,20,18,18,17,16,15,15,11,13
4513,0,2,1,4,3,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3
4522,0,3,3,7,5,6,5,3,3,5,5,6,7,7,7,5,6,6,7,5,6,7,6,6,5,4
