,2080_0000021344_1994_COCA-COLA-CO,2670_0000066740_1994_MINNESOTA-MINING-&-MANUFACTURING-CO,2820_0000030554_1994_DUPONT-E-I-DE-NEMOURS-&-CO,2834_0000078003_1994_PFIZER-INC,2834_0000200406_1994_JOHNSON-&-JOHNSON,2834_0000310158_1994_SCHERING-PLOUGH-CORP,2840_0000080424_1994_PROCTER-&-GAMBLE-CO,2911_0000034088_1994_EXXON-CORP,2911_0000093410_1994_CHEVRON-CORP,3531_0000018230_1994_CATERPILLAR-INC,3570_0000051143_1994_INTERNATIONAL-BUSINESS-MACHINES-CORP,3600_0000040545_1994_GENERAL-ELECTRIC-CO,3674_0000050863_1994_INTEL-CORP,3721_0000012927_1994_BOEING-CO,3724_0000101829_1994_UNITED-TECHNOLOGIES-CORP-/DE/,4813_0000732712_1994_BELL-ATLANTIC-CORP,4813_0000732717_1994_SOUTHWESTERN-BELL-CORP,5211_0000354950_1994_HOME-DEPOT-INC,5812_0000063908_1994_MCDONALDS-CORP,7372_0000789019_1994_MICROSOFT-CORP
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.05193207631211658,0.0,0.05817154565372036,0.01966310559800711,0.0,0.0,0.0,0.0,0.0,0.0,0.008157310260931706,0.009457109063274623,0.0,0.0,0.0,0.0,0.0,0.0,0.021910978443637902
64,0.0,0.012737397697066588,0.0,0.0,0.007234164713229383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04260724874999699,0.0,0.0,0.0,0.0,0.0,0.0032244677993360322
65,0.0021777876567697333,0.026201403523074623,0.020705539281022797,0.026903631859447358,0.0033068898253031287,0.014907881535262532,0.0047249085602104795,0.016631424474027608,0.0043223924653560475,0.024893497962182213,0.01787357540399336,0.035668754378641816,0.01192853956191481,0.00649222510871965,0.02472127046839669,0.002239866964436677,0.0030481038003078637,0.0026098046809057453,0.0,0.008843834925247537
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.00013640747959214043,0.0013676216339890918,0.001296908088417462,0.0038298422655233923,0.001035648505390965,0.001750813382759692,0.0,0.000868102195163121,0.00047378891844910095,0.001949030306454481,0.008396443167610658,0.018044985710966355,0.0003735768296321047,0.00152492150911564,0.002111504505977412,0.028702196104219445,0.02036484591839137,0.003678012292419147,0.003512609124579008,0.0017310647062110426
